Product ID,Product Name,Category,Price,Discount,Tax Rate,Stock Level,Supplier ID,Customer Age Group,Customer Location,Customer Gender,Shipping Cost,Shipping Method,Return Rate,Seasonality,Popularity Index
PROD_221958,Item_432,Beauty,580.32,0.39,0.08,116,SUP_25,18-24,Asia,Female,19.97,Express,0.18,Spring,2
PROD_771155,Item_155,Sports,58.05,0.31,0.16,818,SUP_57,55+,South America,Non-binary,40.46,Overnight,0.11,Autumn,28
PROD_231932,Item_181,Beauty,981.95,0.24,0.05,382,SUP_87,35-44,Australia,Female,6.47,Standard,0.22,Autumn,12
PROD_465838,Item_215,Home Decor,1187.92,0.39,0.08,858,SUP_52,45-54,Asia,Non-binary,22.84,Express,0.23,Winter,96
PROD_359178,Item_88,Electronics,491.22,0.12,0.08,81,SUP_60,45-54,South America,Male,10.85,Standard,0.03,Summer,59
PROD_744167,Item_256,Home Decor,18.1,0.38,0.05,826,SUP_75,45-54,North America,Non-binary,21.5,Standard,0.25,Winter,83
PROD_210268,Item_73,Electronics,207.9,0.43,0.16,831,SUP_40,25-34,Asia,Female,17.21,Standard,0.24,Summer,66
PROD_832180,Item_419,Clothing,784.77,0.44,0.05,872,SUP_48,25-34,Asia,Non-binary,36.55,Standard,0.16,Winter,69
PROD_154886,Item_179,Beauty,736.43,0.39,0.08,652,SUP_18,55+,North America,Male,9.19,Standard,0.21,Autumn,80
PROD_237337,Item_212,Clothing,946.5,0.2,0.16,733,SUP_50,35-44,Europe,Male,27.74,Overnight,0.0,Summer,46
PROD_621430,Item_293,Clothing,308.39,0.49,0.12,409,SUP_72,18-24,Australia,Male,19.48,Express,0.24,Spring,67
PROD_187498,Item_234,Electronics,917.54,0.19,0.16,69,SUP_23,55+,North America,Non-binary,24.28,Express,0.11,Autumn,96
PROD_999159,Item_465,Home Decor,827.14,0.32,0.16,386,SUP_67,25-34,North America,Female,32.72,Express,0.23,All-Year,32
PROD_275203,Item_239,Sports,390.76,0.08,0.12,982,SUP_83,55+,North America,Non-binary,17.36,Overnight,0.1,Autumn,5
PROD_291335,Item_223,Electronics,656.86,0.49,0.16,523,SUP_97,35-44,Europe,Non-binary,17.78,Standard,0.2,Spring,63
PROD_378167,Item_119,Sports,180.99,0.35,0.08,296,SUP_93,55+,North America,Non-binary,5.3,Overnight,0.1,Winter,77
PROD_141090,Item_313,Clothing,545.81,0.38,0.08,616,SUP_73,45-54,Europe,Female,25.73,Standard,0.09,Summer,70
PROD_429365,Item_264,Sports,1058.03,0.03,0.08,718,SUP_37,18-24,Australia,Male,19.93,Overnight,0.24,Winter,69
PROD_164820,Item_207,Home Decor,508.32,0.38,0.08,64,SUP_13,25-34,Europe,Male,36.93,Express,0.17,Winter,50
PROD_887201,Item_95,Electronics,1008.28,0.39,0.12,574,SUP_43,25-34,Australia,Male,20.89,Overnight,0.21,Summer,66
PROD_421879,Item_373,Home Decor,710.35,0.34,0.08,177,SUP_13,35-44,Australia,Female,43.74,Standard,0.14,Winter,100
PROD_818315,Item_222,Home Decor,234.29,0.15,0.16,942,SUP_79,35-44,Australia,Non-binary,9.39,Express,0.23,Spring,21
PROD_427069,Item_366,Electronics,699.42,0.24,0.05,7,SUP_67,35-44,South America,Non-binary,13.48,Express,0.18,All-Year,71
PROD_876997,Item_276,Home Decor,609.65,0.06,0.12,158,SUP_95,25-34,Australia,Non-binary,18.85,Standard,0.02,Summer,23
PROD_299041,Item_380,Beauty,481.38,0.24,0.12,10,SUP_13,45-54,Europe,Female,9.33,Standard,0.19,Winter,76
PROD_891743,Item_231,Beauty,147.96,0.12,0.05,784,SUP_59,18-24,South America,Non-binary,43.81,Overnight,0.0,Summer,76
PROD_203355,Item_309,Beauty,502.97,0.17,0.08,410,SUP_14,35-44,North America,Female,29.56,Standard,0.21,Winter,64
PROD_335796,Item_119,Sports,91.95,0.08,0.08,891,SUP_84,25-34,North America,Male,2.48,Standard,0.08,Spring,52
PROD_314176,Item_268,Home Decor,123.03,0.12,0.16,606,SUP_54,45-54,Asia,Male,26.88,Standard,0.15,Autumn,40
PROD_284779,Item_433,Electronics,502.02,0.04,0.08,154,SUP_44,35-44,Australia,Female,35.59,Express,0.19,All-Year,99
PROD_447449,Item_273,Electronics,369.93,0.46,0.08,205,SUP_92,35-44,Asia,Male,4.21,Standard,0.16,All-Year,31
PROD_521909,Item_64,Sports,1111.03,0.27,0.16,114,SUP_84,18-24,Australia,Female,26.85,Express,0.17,Summer,68
PROD_358795,Item_298,Electronics,453.97,0.2,0.08,378,SUP_84,18-24,Australia,Non-binary,18.1,Express,0.22,All-Year,70
PROD_586232,Item_350,Beauty,910.64,0.27,0.05,598,SUP_36,55+,Europe,Male,27.0,Express,0.09,Winter,44
PROD_600186,Item_413,Home Decor,638.65,0.31,0.08,823,SUP_11,35-44,Europe,Male,12.86,Standard,0.14,Spring,31
PROD_256730,Item_403,Electronics,846.38,0.46,0.05,708,SUP_63,55+,North America,Non-binary,30.64,Standard,0.04,Spring,27
PROD_970910,Item_494,Electronics,315.84,0.09,0.05,349,SUP_81,25-34,South America,Non-binary,30.87,Express,0.12,Summer,96
PROD_484681,Item_11,Clothing,1130.58,0.15,0.05,97,SUP_93,18-24,North America,Female,25.2,Overnight,0.04,Winter,13
PROD_249503,Item_98,Clothing,638.46,0.49,0.08,942,SUP_96,45-54,Australia,Male,41.72,Overnight,0.16,All-Year,12
PROD_754811,Item_434,Clothing,998.43,0.19,0.08,18,SUP_88,35-44,South America,Non-binary,41.11,Overnight,0.08,Winter,92
PROD_627035,Item_71,Home Decor,441.23,0.01,0.12,312,SUP_57,35-44,Asia,Male,4.04,Standard,0.21,All-Year,49
PROD_748143,Item_364,Beauty,124.75,0.07,0.16,926,SUP_86,55+,Australia,Male,14.47,Express,0.09,Winter,39
PROD_552366,Item_58,Beauty,810.09,0.01,0.16,527,SUP_58,18-24,Europe,Male,17.66,Standard,0.07,All-Year,0
PROD_165725,Item_290,Beauty,14.27,0.49,0.12,556,SUP_87,55+,North America,Male,4.38,Express,0.12,All-Year,46
PROD_229981,Item_251,Home Decor,572.98,0.14,0.05,666,SUP_10,35-44,North America,Female,24.52,Overnight,0.04,Spring,90
PROD_184654,Item_276,Home Decor,235.4,0.46,0.16,444,SUP_42,18-24,Asia,Non-binary,3.06,Standard,0.05,Autumn,29
PROD_691723,Item_50,Clothing,754.71,0.5,0.12,921,SUP_44,35-44,North America,Male,31.16,Overnight,0.2,Autumn,33
PROD_419030,Item_358,Electronics,1175.41,0.3,0.05,230,SUP_63,18-24,North America,Non-binary,2.12,Express,0.12,Summer,45
PROD_428947,Item_216,Sports,559.96,0.02,0.12,668,SUP_65,35-44,South America,Non-binary,3.37,Overnight,0.05,Autumn,0
PROD_655839,Item_394,Sports,981.91,0.04,0.08,624,SUP_24,45-54,Australia,Female,37.85,Express,0.01,Summer,33
PROD_373538,Item_416,Electronics,611.8,0.24,0.08,888,SUP_78,55+,South America,Female,12.86,Standard,0.12,Spring,58
PROD_431236,Item_52,Clothing,597.53,0.2,0.05,358,SUP_13,18-24,South America,Male,5.49,Standard,0.19,Summer,6
PROD_628178,Item_271,Electronics,1116.86,0.3,0.05,382,SUP_93,55+,North America,Male,19.18,Overnight,0.09,Autumn,64
PROD_665894,Item_485,Electronics,1068.51,0.22,0.08,511,SUP_73,18-24,Australia,Female,4.19,Standard,0.06,All-Year,41
PROD_589492,Item_84,Sports,944.03,0.47,0.16,43,SUP_31,18-24,North America,Non-binary,34.27,Express,0.1,Summer,81
PROD_356840,Item_387,Clothing,359.03,0.27,0.16,364,SUP_33,18-24,North America,Non-binary,23.25,Express,0.24,Autumn,98
PROD_573254,Item_293,Home Decor,656.29,0.35,0.08,924,SUP_56,35-44,South America,Female,25.73,Overnight,0.11,Autumn,18
PROD_449457,Item_126,Sports,272.56,0.45,0.16,876,SUP_84,25-34,Europe,Male,34.38,Express,0.06,All-Year,12
PROD_765987,Item_296,Home Decor,535.48,0.07,0.08,621,SUP_15,35-44,Europe,Male,35.73,Standard,0.14,Winter,22
PROD_370936,Item_72,Clothing,583.63,0.11,0.12,110,SUP_36,25-34,South America,Male,7.86,Overnight,0.2,Autumn,65
PROD_339931,Item_296,Electronics,998.81,0.05,0.12,222,SUP_19,35-44,South America,Female,14.05,Overnight,0.01,Spring,2
PROD_339629,Item_236,Beauty,1075.75,0.07,0.12,385,SUP_48,25-34,North America,Female,9.55,Standard,0.14,All-Year,85
PROD_305041,Item_56,Beauty,500.47,0.26,0.16,901,SUP_83,18-24,Australia,Non-binary,4.32,Standard,0.21,Winter,35
PROD_798361,Item_407,Clothing,26.16,0.16,0.12,264,SUP_46,18-24,North America,Female,25.11,Standard,0.05,All-Year,48
PROD_831912,Item_360,Beauty,1034.82,0.21,0.05,270,SUP_63,25-34,North America,Male,12.74,Overnight,0.23,Summer,71
PROD_517113,Item_395,Home Decor,213.26,0.49,0.05,211,SUP_60,25-34,Asia,Non-binary,8.62,Overnight,0.14,Autumn,86
PROD_168148,Item_110,Beauty,748.15,0.08,0.12,495,SUP_69,55+,North America,Male,23.94,Express,0.13,Autumn,71
PROD_877089,Item_192,Clothing,34.84,0.27,0.05,313,SUP_81,18-24,Australia,Male,29.26,Overnight,0.24,All-Year,56
PROD_748531,Item_392,Clothing,482.41,0.05,0.12,769,SUP_60,35-44,North America,Non-binary,35.2,Overnight,0.03,Summer,88
PROD_351995,Item_93,Home Decor,1183.22,0.16,0.12,386,SUP_71,55+,South America,Male,2.75,Express,0.19,All-Year,98
PROD_778843,Item_350,Beauty,125.33,0.26,0.08,246,SUP_58,25-34,Australia,Non-binary,24.63,Overnight,0.2,Spring,63
PROD_672843,Item_56,Beauty,511.31,0.47,0.12,947,SUP_60,35-44,South America,Male,13.48,Express,0.12,Autumn,10
PROD_356508,Item_60,Electronics,372.04,0.2,0.05,566,SUP_37,45-54,Asia,Male,44.64,Express,0.0,Autumn,40
PROD_903591,Item_138,Sports,1086.58,0.03,0.16,820,SUP_45,45-54,Asia,Non-binary,8.75,Express,0.13,Spring,5
PROD_996942,Item_39,Clothing,1043.86,0.19,0.12,349,SUP_34,45-54,Australia,Male,20.83,Standard,0.04,Winter,44
PROD_206530,Item_28,Electronics,289.05,0.07,0.08,71,SUP_45,35-44,Europe,Male,43.71,Standard,0.14,Autumn,80
PROD_704365,Item_49,Clothing,102.02,0.11,0.05,295,SUP_86,25-34,Europe,Non-binary,11.16,Overnight,0.18,All-Year,99
PROD_922352,Item_420,Electronics,754.43,0.31,0.08,212,SUP_69,35-44,Australia,Non-binary,36.7,Express,0.13,Winter,56
