hidden_layer_sizes,activation,learning_rate_init,alpha,max_iter,fitness
"(64,)",logistic,0.015702970884055385,3.90796715682288,500,0.8494592188800241
"(16,)",relu,0.03967605077052987,4.042872735027333,1000,0.8730587319874612
"(8,)",logistic,0.031428808908401065,0.018794668241638453,500,0.870417823431166
"(16,)",tanh,0.0037520558551242793,0.39054412752107937,1000,0.8808910220859498
"(16, 16)",relu,0.0007523742884534859,0.15782327810795582,1000,0.8355800310719006
"(32, 16)",relu,0.0034890188454913852,3.584985580340472,500,0.872334383234848
"(16, 16)",relu,0.0001567309546723541,493.52962094021075,1500,0.19362445237812193
"(32, 16)",tanh,0.00019634341572933315,12.746711578215054,1000,0.7734950449162727
"(16,)",tanh,0.00012681352169084594,285.70800750407227,1000,0.16874229673048324
"(16, 16)",tanh,0.0036324869566766046,1.9066091638188463,500,0.8712210378013063
"(64, 32)",logistic,0.0658410616012161,233.8643925620871,1000,0.3618789715152073
"(32, 32)",relu,0.00038721180321745803,0.001867943489455631,1000,0.8447890646842859
"(16,)",tanh,0.0037520558551242793,0.39054412752107937,1000,0.8808910220859498
"(16,)",relu,0.03967605077052987,4.042872735027333,1000,0.8730587319874612
"(32, 16)",relu,0.01847685051126992,4.042872735027333,500,0.8742899324549752
"(16,)",relu,0.0015270080551460289,3.584985580340472,1000,0.8548134337105111
"(8,)",logistic,0.031428808908401065,4.042872735027333,1000,0.8485328530801167
"(64,)",relu,0.03967605077052987,0.018794668241638453,1000,0.8690112276212616
"(32,)",logistic,0.031428808908401065,0.62454349656481,1000,0.8608053181651417
"(16,)",tanh,0.0037520558551242793,0.018794668241638453,500,0.8814915105996629
"(16, 16)",relu,0.0007523742884534859,0.15782327810795582,1000,0.8355800310719006
"(32, 16)",relu,0.0034890188454913852,3.584985580340472,500,0.872334383234848
"(16,)",logistic,0.03967605077052987,4.042872735027333,500,0.8452755784561411
"(16,)",relu,0.031428808908401065,0.018794668241638453,1000,0.8711414773473823
"(16,)",tanh,0.0037520558551242793,0.018794668241638453,500,0.8814915105996629
"(16,)",tanh,0.0037520558551242793,0.39054412752107937,1000,0.8808910220859498
"(16,)",relu,0.031428808908401065,3.584985580340472,1000,0.8835113203321499
"(16,)",logistic,0.0015270080551460289,0.018794668241638453,1000,0.7817792987975346
"(32, 16)",relu,0.0034890188454913852,3.584985580340472,500,0.872334383234848
"(16,)",tanh,0.0037520558551242793,0.39054412752107937,1000,0.8808910220859498
"(16, 8)",tanh,0.0037520558551242793,4.042872735027333,500,0.8612664972628515
"(16,)",relu,0.03967605077052987,0.018794668241638453,1000,0.8827036114080553
"(32, 16)",relu,0.03967605077052987,0.018794668241638453,500,0.8671799482634649
"(64,)",relu,0.01847685051126992,4.001860821654892,500,0.8667480443921411
"(16,)",tanh,0.0032623611537646235,0.018794668241638453,500,0.8743859675668813
"(16,)",tanh,0.0037520558551242793,0.018794668241638453,500,0.8814915105996629
"(16,)",relu,0.031428808908401065,3.584985580340472,1000,0.8835113203321499
"(32,)",relu,0.07299131371278307,0.03364552776342812,1000,0.8721872873591549
"(16,)",relu,0.0020373007931893867,0.10931419259528635,500,0.8567743591955159
"(16,)",tanh,0.005158864003667707,0.10130026256367598,1000,0.8821393378878476
"(16,)",relu,0.031428808908401065,3.584985580340472,1000,0.8835113203321499
"(16,)",tanh,0.01453643142022268,1.1694316367996975,1000,0.8770386810942549
"(16,)",tanh,0.1,16.574739893759098,1500,0.8319535331616092
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(16,)",tanh,0.004010434642280987,0.02256475984741815,1000,0.8809654217004335
"(8,)",tanh,0.0005174966323557277,19.301487403238795,500,0.8027870012469329
"(8,)",tanh,0.023218782629820765,7.698416574323553,1500,0.8594601288430402
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(8,)",tanh,0.020787669919177132,1.7719164757795614,1500,0.8820658800957215
"(16,)",tanh,0.1,4.454569857717493,1500,0.855332227120545
"(16,)",tanh,0.1,0.7322744282068995,1500,0.8795442287673785
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(16,)",logistic,0.1,0.3361171185246729,1500,0.8761086475379782
"(8,)",tanh,0.1,17.718961650189218,1500,0.8297306689213769
"(8,)",tanh,0.1,4.176186125466796,1500,0.8662010305051433
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(16,)",logistic,0.1,2.0139118904819773,1500,0.8490770531501924
"(8,)",logistic,0.1,0.10424183844279152,1500,0.8798314788458613
"(8,)",tanh,0.03972951814133084,1.3429531283409628,1500,0.8774093146577476
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(8,)",logistic,0.1,6.7151045370602365,1500,0.8209077963158459
"(8,)",logistic,0.1,0.21318362985034175,1000,0.8748281687070453
"(8,)",logistic,0.05699289814843861,0.12640863553236809,1500,0.88285071796036
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(8,)",logistic,0.04049761647481708,1.3356317016879284,1500,0.8637866068399707
"(8,)",logistic,0.011122472471163897,0.4078013723069058,1500,0.86871236745753
"(8,)",tanh,0.01409944148908881,0.04807872131489689,1000,0.8776505597671331
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(8,)",tanh,0.1,2.150356861268566,1500,0.8692949386415034
"(8,)",tanh,0.0029572305851514164,1.4497589898505887,1500,0.8671078404034717
"(8,)",tanh,0.004186169086648862,0.5871143257985466,1500,0.8720963707374171
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(8,)",tanh,0.019838412167235826,3.024014088111349,1500,0.8759479994758138
"(8,)",tanh,0.0005094167157749743,0.23541701303742096,1500,0.8095354511744117
"(8,)",tanh,0.002776827097225936,5.345066918605993,1500,0.8588873609094149
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(8,)",tanh,0.061867276461224016,1.5546189317613004,1500,0.8746709278955391
"(8,)",tanh,0.0005461949014062888,0.9014709389842447,1500,0.807784268150753
"(8,)",tanh,0.0025947460593792773,11.401055311061516,1500,0.8482615614803851
"(8,)",tanh,0.05575333549503201,0.5289431404379227,1500,0.8844091623912631
"(8,)",tanh,0.1,1.4918603621663462,1500,0.8723660205719869
