generation,individual,fitness
1.0,0,0.8494592188800241
1.0,1,0.8730587319874612
1.0,2,0.870417823431166
1.0,3,0.8808910220859498
1.0,4,0.8355800310719006
1.0,5,0.872334383234848
1.0,6,0.19362445237812193
1.0,7,0.7734950449162727
1.0,8,0.16874229673048324
1.0,9,0.8712210378013063
1.0,10,0.3618789715152073
1.0,11,0.8447890646842859
2.0,0,0.8808910220859498
2.0,1,0.8730587319874612
2.0,2,0.8742899324549752
2.0,3,0.8548134337105111
2.0,4,0.8485328530801167
2.0,5,0.8690112276212616
2.0,6,0.8608053181651417
2.0,7,0.8814915105996629
2.0,8,0.8355800310719006
2.0,9,0.872334383234848
2.0,10,0.8452755784561411
2.0,11,0.8711414773473823
3.0,0,0.8814915105996629
3.0,1,0.8808910220859498
3.0,2,0.8835113203321499
3.0,3,0.7817792987975346
3.0,4,0.872334383234848
3.0,5,0.8808910220859498
3.0,6,0.8612664972628515
3.0,7,0.8827036114080553
3.0,8,0.8671799482634649
3.0,9,0.8667480443921411
3.0,10,0.8743859675668813
3.0,11,0.8814915105996629
4.0,0,0.8950404622804055
4.0,1,0.8949251502275531
4.0,2,0.8907369743947708
4.0,3,0.8864870109593728
4.0,4,0.8773821768414898
4.0,5,0.879011510057991
4.0,6,0.8808910220859498
4.0,7,0.8743859675668813
4.0,8,0.8749359562688976
4.0,9,0.881322004316341
4.0,10,0.8873904703499227
4.0,11,0.8756083193220588
5.0,0,0.8950404622804055
5.0,1,0.8949251502275531
5.0,2,0.881322004316341
5.0,3,0.8950404622804055
5.0,4,0.8861146200295344
5.0,5,0.8718465278453846
5.0,6,0.8838206725561601
5.0,7,0.8907369743947708
5.0,8,0.8673733273553343
5.0,9,0.8949251502275531
5.0,10,0.8946820246580123
5.0,11,0.8884508651366808
6.0,0,0.8950404622804055
6.0,1,0.8950404622804055
6.0,2,0.8803563552844016
6.0,3,0.8915186664605838
6.0,4,0.8884508651366808
6.0,5,0.8950404622804055
6.0,6,0.8803920014400314
6.0,7,0.8791492546202445
6.0,8,0.8790924305951247
6.0,9,0.8907369743947708
6.0,10,0.8950404622804055
6.0,11,0.8907369743947708
7.0,0,0.8950404622804055
7.0,1,0.8915186664605838
7.0,2,0.880506854543226
7.0,3,0.8918902224307157
7.0,4,0.8950404622804055
7.0,5,0.8915186664605838
7.0,6,0.8782089576718978
7.0,7,0.8780138824798644
7.0,8,0.8867966298838121
7.0,9,0.8907369743947708
7.0,10,0.8907369743947708
7.0,11,0.8817558444024389
